Trafikkregistreringspunkt,Navn,Dato,Fra tidspunkt,Til tidspunkt,Felt,Trafikkmengde,"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,07:00,08:00,Totalt i retning Sentrum,1995,1669,273,96,84,33,60,60,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,07:00,08:00,Totalt,3824,3273,498,167,154,65,112,111,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,08:00,09:00,Totalt i retning Alnabru,1829,1586,241,70,74,44,53,53,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,08:00,09:00,Totalt i retning Sentrum,2202,1827,356,112,113,32,99,98,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,08:00,09:00,Totalt,4031,3413,597,182,187,76,152,151,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,09:00,10:00,Totalt i retning Alnabru,1808,1384,424,92,135,37,160,157,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,09:00,10:00,Totalt i retning Sentrum,1932,1503,429,159,128,33,109,108,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,09:00,10:00,Totalt,3740,2887,853,251,263,70,269,265,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,10:00,11:00,Totalt i retning Alnabru,1829,1393,435,129,132,34,140,137,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,10:00,11:00,Totalt i retning Sentrum,1633,1204,428,154,139,33,102,101,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,10:00,11:00,Totalt,3462,2597,863,283,271,67,242,238,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,11:00,12:00,Totalt i retning Alnabru,1821,1407,414,119,140,26,129,128,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,11:00,12:00,Totalt i retning Sentrum,1667,1275,391,122,124,43,102,101,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,11:00,12:00,Totalt,3488,2682,805,241,264,69,231,229,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,12:00,13:00,Totalt i retning Alnabru,1914,1508,406,126,139,20,121,120,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,12:00,13:00,Totalt i retning Sentrum,1694,1345,349,121,101,31,96,93,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,12:00,13:00,Totalt,3608,2853,755,247,240,51,217,213,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,13:00,14:00,Totalt i retning Alnabru,2075,1698,376,116,127,30,103,99,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,13:00,14:00,Totalt i retning Sentrum,1709,1362,346,110,105,39,92,92,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,13:00,14:00,Totalt,3784,3060,722,226,232,69,195,191,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,14:00,15:00,Totalt i retning Alnabru,2668,2230,438,151,151,34,102,101,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,14:00,15:00,Totalt i retning Sentrum,1976,1623,353,99,113,41,100,96,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,14:00,15:00,Totalt,4644,3853,791,250,264,75,202,197,5
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,15:00,16:00,Totalt i retning Alnabru,2752,2423,328,119,111,27,71,71,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,15:00,16:00,Totalt i retning Sentrum,2355,2071,283,92,79,42,70,69,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,15:00,16:00,Totalt,5107,4494,611,211,190,69,141,140,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,16:00,17:00,Totalt i retning Alnabru,2436,2137,299,124,94,20,61,59,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,16:00,17:00,Totalt i retning Sentrum,2200,1957,243,81,61,38,63,62,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,16:00,17:00,Totalt,4636,4094,542,205,155,58,124,121,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,17:00,18:00,Totalt i retning Alnabru,1990,1727,263,93,87,22,61,59,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,17:00,18:00,Totalt i retning Sentrum,1683,1477,206,66,40,37,63,60,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,17:00,18:00,Totalt,3673,3204,469,159,127,59,124,119,5
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,18:00,19:00,Totalt i retning Alnabru,1628,1399,228,64,62,17,85,84,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,18:00,19:00,Totalt i retning Sentrum,1338,1184,154,37,35,20,62,57,5
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,18:00,19:00,Totalt,2966,2583,382,101,97,37,147,141,6
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,19:00,20:00,Totalt i retning Alnabru,1190,1037,153,34,47,20,52,49,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,19:00,20:00,Totalt i retning Sentrum,1062,939,123,26,32,15,50,44,6
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,19:00,20:00,Totalt,2252,1976,276,60,79,35,102,93,9
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,20:00,21:00,Totalt i retning Alnabru,1038,923,115,32,39,14,30,30,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,20:00,21:00,Totalt i retning Sentrum,945,849,96,19,17,20,40,36,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,20:00,21:00,Totalt,1983,1772,211,51,56,34,70,66,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,21:00,22:00,Totalt i retning Alnabru,850,737,113,22,26,20,45,42,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,21:00,22:00,Totalt i retning Sentrum,782,687,95,21,25,7,42,38,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,21:00,22:00,Totalt,1632,1424,208,43,51,27,87,80,7
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,22:00,23:00,Totalt i retning Alnabru,543,471,72,13,23,12,24,24,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,22:00,23:00,Totalt i retning Sentrum,469,405,64,18,19,5,22,20,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,22:00,23:00,Totalt,1012,876,136,31,42,17,46,44,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,23:00,00:00,Totalt i retning Alnabru,307,261,46,15,10,3,18,17,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,23:00,00:00,Totalt i retning Sentrum,293,239,54,17,12,2,23,22,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-01,23:00,00:00,Totalt,600,500,100,32,22,5,41,39,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,00:00,01:00,Totalt i retning Alnabru,192,132,60,14,5,4,37,33,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,00:00,01:00,Totalt i retning Sentrum,147,115,32,9,9,2,12,12,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,00:00,01:00,Totalt,339,247,92,23,14,6,49,45,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,01:00,02:00,Totalt i retning Alnabru,146,92,54,9,7,0,38,37,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,01:00,02:00,Totalt i retning Sentrum,100,64,36,8,11,5,12,12,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,01:00,02:00,Totalt,246,156,90,17,18,5,50,49,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,02:00,03:00,Totalt i retning Alnabru,117,75,42,5,4,2,31,27,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,02:00,03:00,Totalt i retning Sentrum,90,53,37,11,8,4,14,11,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,02:00,03:00,Totalt,207,128,79,16,12,6,45,38,7
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,03:00,04:00,Totalt i retning Alnabru,169,121,48,7,8,4,29,27,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,03:00,04:00,Totalt i retning Sentrum,74,40,34,3,7,5,19,18,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,03:00,04:00,Totalt,243,161,82,10,15,9,48,45,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,04:00,05:00,Totalt i retning Alnabru,221,160,61,17,12,3,29,26,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,04:00,05:00,Totalt i retning Sentrum,166,92,74,15,20,11,28,28,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,04:00,05:00,Totalt,387,252,135,32,32,14,57,54,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,05:00,06:00,Totalt i retning Alnabru,424,332,92,25,19,4,44,39,5
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,05:00,06:00,Totalt i retning Sentrum,480,335,145,23,53,17,52,51,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,05:00,06:00,Totalt,904,667,237,48,72,21,96,90,6
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,06:00,07:00,Totalt i retning Alnabru,1071,906,165,41,46,19,59,57,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,06:00,07:00,Totalt i retning Sentrum,1744,1455,289,80,83,27,99,97,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,06:00,07:00,Totalt,2815,2361,454,121,129,46,158,154,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,07:00,08:00,Totalt i retning Alnabru,1743,1501,241,58,74,41,68,68,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,07:00,08:00,Totalt i retning Sentrum,2003,1682,321,106,110,36,69,68,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,07:00,08:00,Totalt,3746,3183,562,164,184,77,137,136,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,08:00,09:00,Totalt i retning Alnabru,1652,1414,237,58,69,51,59,59,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,08:00,09:00,Totalt i retning Sentrum,1878,1547,331,118,105,42,66,66,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,08:00,09:00,Totalt,3530,2961,568,176,174,93,125,125,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,09:00,10:00,Totalt i retning Alnabru,1473,1109,364,107,99,42,116,116,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,09:00,10:00,Totalt i retning Sentrum,1523,1135,388,119,119,22,128,128,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,09:00,10:00,Totalt,2996,2244,752,226,218,64,244,244,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,10:00,11:00,Totalt i retning Alnabru,1534,1177,357,107,130,19,101,96,5
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,10:00,11:00,Totalt i retning Sentrum,1305,948,357,117,102,30,108,106,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,10:00,11:00,Totalt,2839,2125,714,224,232,49,209,202,7
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,11:00,12:00,Totalt i retning Alnabru,1564,1218,346,103,114,25,104,101,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,11:00,12:00,Totalt i retning Sentrum,1427,1110,317,113,105,20,79,78,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,11:00,12:00,Totalt,2991,2328,663,216,219,45,183,179,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,12:00,13:00,Totalt i retning Alnabru,1692,1298,393,102,133,33,125,124,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,12:00,13:00,Totalt i retning Sentrum,1579,1232,347,120,98,32,97,96,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,12:00,13:00,Totalt,3271,2530,740,222,231,65,222,220,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,13:00,14:00,Totalt i retning Alnabru,1858,1501,356,130,113,28,85,82,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,13:00,14:00,Totalt i retning Sentrum,1486,1179,305,114,86,32,73,73,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,13:00,14:00,Totalt,3344,2680,661,244,199,60,158,155,3
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,14:00,15:00,Totalt i retning Alnabru,2068,1732,336,137,90,22,87,81,6
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,14:00,15:00,Totalt i retning Sentrum,1836,1475,361,99,105,56,101,99,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,14:00,15:00,Totalt,3904,3207,697,236,195,78,188,180,8
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,15:00,16:00,Totalt i retning Alnabru,2225,1899,326,125,107,28,66,65,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,15:00,16:00,Totalt i retning Sentrum,1806,1576,229,74,49,41,65,64,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,15:00,16:00,Totalt,4031,3475,555,199,156,69,131,129,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,16:00,17:00,Totalt i retning Alnabru,1875,1646,229,87,67,22,53,52,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,16:00,17:00,Totalt i retning Sentrum,1657,1465,192,64,38,43,47,47,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,16:00,17:00,Totalt,3532,3111,421,151,105,65,100,99,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,17:00,18:00,Totalt i retning Alnabru,1658,1466,192,69,48,20,55,55,0
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,17:00,18:00,Totalt i retning Sentrum,1417,1272,145,29,38,36,42,41,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,17:00,18:00,Totalt,3075,2738,337,98,86,56,97,96,1
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,18:00,19:00,Totalt i retning Alnabru,1491,1292,198,49,40,25,84,82,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,18:00,19:00,Totalt i retning Sentrum,1166,1027,139,34,27,15,63,61,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,18:00,19:00,Totalt,2657,2319,337,83,67,40,147,143,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,19:00,20:00,Totalt i retning Alnabru,1087,968,119,29,31,11,48,46,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,19:00,20:00,Totalt i retning Sentrum,1027,918,109,16,35,8,50,46,4
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,19:00,20:00,Totalt,2114,1886,228,45,66,19,98,92,6
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,20:00,21:00,Totalt i retning Alnabru,833,749,83,16,33,6,28,26,2
33808V625649,"Helsfyr 1,2,3,4",2023-11-02,20:00,21:00,Totalt i retning Sentrum,797,719,78,18,16,4,40,38,2
